ProfileID_i,season,daytype,hour,valid_obs_ratio,kw_mean,total_hours_sum,kw_std,valid_hours
364,high,Sunday,21,1.0,0.4738139119379503,10,0.12064827477821584,10.0
364,high,Sunday,22,1.0,0.38637466465260606,10,0.1035187743797682,10.0
364,high,Sunday,23,1.0,0.35056422056548125,10,0.06553900227883307,10.0
364,low,Weekday,0,0.9285714285714286,0.3298841501545706,14,0.14158418793113797,13.0
364,low,Weekday,1,0.9285714285714286,0.3254620647271012,14,0.13870965923206416,13.0
364,low,Weekday,2,0.9285714285714286,0.30470637908070963,14,0.14547307909034826,13.0
364,low,Weekday,3,0.9285714285714286,0.2923182514705428,14,0.15833967579743244,13.0
364,low,Weekday,4,0.9285714285714286,0.2909811637454634,14,0.15765444648406457,13.0
364,low,Weekday,5,0.9285714285714286,0.4809589271946596,14,0.3075284643635322,13.0
364,low,Weekday,6,0.9285714285714286,0.7363371330593479,14,0.4331829719683056,13.0
364,low,Weekday,7,0.9285714285714286,0.46513766226560954,14,0.23667188175736475,13.0
364,low,Weekday,8,1.0,0.4100415243870877,14,0.26363000773398093,14.0
364,low,Weekday,9,1.0,0.41338528700298366,14,0.3075420994081934,14.0
364,low,Weekday,10,0.8461538461538461,0.4309106668360855,13,0.36577159112868024,11.0
364,low,Weekday,11,0.8461538461538461,0.36387979541835197,13,0.2098285648156768,11.0
364,low,Weekday,12,0.8461538461538461,0.4839571824832038,13,0.37702549966370363,11.0
364,low,Weekday,13,0.8461538461538461,0.3786427295364657,13,0.3066848667631734,11.0
364,low,Weekday,14,0.8461538461538461,0.39138433948629586,13,0.22730785741851703,11.0
364,low,Weekday,15,0.8461538461538461,0.558951879943463,13,0.3107520988273678,11.0
364,low,Weekday,16,0.8461538461538461,0.6390831667087328,13,0.3708600526837405,11.0
364,low,Weekday,17,0.8461538461538461,0.7404590398252658,13,0.4634647698359842,11.0
364,low,Weekday,18,0.8461538461538461,1.040468928678273,13,0.49253835479690494,11.0
364,low,Weekday,19,0.8461538461538461,0.9810185215725874,13,0.256174107728654,11.0
364,low,Weekday,20,0.8461538461538461,0.8333192871908579,13,0.1660379203065403,11.0
364,low,Weekday,21,0.8461538461538461,0.4775439588556868,13,0.14548499356965247,11.0
364,low,Weekday,22,0.8461538461538461,0.31236811837639533,13,0.1484745633237548,11.0
364,low,Weekday,23,0.8461538461538461,0.31871118647181423,13,0.1515751288982895,11.0
364,low,Saturday,0,1.0,0.1893454207784586,2,0.2677748620381366,2.0
364,low,Saturday,1,0.5,0.37509425162647564,2,,1.0
364,low,Saturday,2,0.5,0.3763915217100567,2,,1.0
364,low,Saturday,3,0.5,0.3764447084662373,2,,1.0
364,low,Saturday,4,0.5,0.37690507855649136,2,,1.0
364,low,Saturday,5,0.5,0.3865308466276719,2,,1.0
364,low,Saturday,6,0.5,0.36801684218215297,2,,1.0
364,low,Saturday,7,0.5,0.8401665938465716,2,,1.0
364,low,Saturday,8,1.0,0.44906493741287384,2,0.1078027740815854,2.0
364,low,Saturday,9,1.0,0.27862584276525093,2,0.12106517727134136,2.0
364,low,Saturday,10,1.0,0.37338840613282953,2,0.006418467436140758,2.0
364,low,Saturday,11,1.0,0.5421139251154763,2,0.23239701136267796,2.0
364,low,Saturday,12,1.0,0.6968130010189001,2,0.233978419857297,2.0
364,low,Saturday,13,1.0,0.41810893278612665,2,0.045531920234679495,2.0
364,low,Saturday,14,1.0,0.4753013636034621,2,0.1610639502650814,2.0
364,low,Saturday,15,1.0,0.4365639071686519,2,0.013743082863686612,2.0
364,low,Saturday,16,1.0,0.6978570209359838,2,0.39310150706380736,2.0
364,low,Saturday,17,1.0,0.52236298484088,2,0.19225896571143575,2.0
364,low,Saturday,18,1.0,1.094455980932579,2,0.6448340997558568,2.0
364,low,Saturday,19,1.0,0.820938330103371,2,0.08921031514409511,2.0
364,low,Saturday,20,1.0,0.832737586212046,2,0.09413212329894989,2.0
